 id  |         name          | ghn_district_code |     province      | type | ghn_support_type 
 320 | Ia Grai               | 3812              | Gia Lai           |    2 |                3
 325 | Krông Bông            | 4011              | Đắk Lắk           |    3 |                3
 330 | Lệ Thủy               | 3107              | Quảng Bình        |    3 |                3
 335 | Mang Yang             |                   | Gia Lai           |    3 |                 
 340 | Mỹ Tú                 | 5903              | Sóc Trăng         |    3 |                3
 345 | Nghĩa Lộ              | 1302              | Yên Bái           |    3 |                3
 350 | Phan Rang - Tháp Chàm | 4501              | Ninh Thuận        |    1 |                3
 358 | Quảng Điền            | 3303              | Thừa Thiên - Huế  |    2 |                3
 363 | Quỳ Châu              | 2903              | Nghệ An           |    3 |                3
 368 | Sơn Tây               | 1B16              | Hà Nội            |    3 |                3
 373 | Tân Phú Đông          |                   | Tiền Giang        |    3 |                 
 378 | Châu Thành            | 5602              | Bến Tre           |    2 |                2
 383 | Côn Đảo               |                   | Bà Rịa - Vũng Tàu |    3 |                 
 388 | Đạ Tẻh                | 4208              | Lâm Đồng          |    3 |                3
 393 | Đô Lương              | 2914              | Nghệ An           |    3 |                3
 398 | Ea H'leo              | 4002              | Đắk Lắk           |    3 |                3
 403 | Hà Trung              | 2821              | Thanh Hóa         |    2 |                3
 408 | Hoàn Kiếm             | 1A02              | Hà Nội            |    1 |                3
 413 | Hữu Lũng              | 1011              | Lạng Sơn          |    3 |                3
 418 | Krông Ana             | 4010              | Đắk Lắk           |    3 |                3
 421 | Lấp Vò                | 5008              | Đồng Tháp         |    3 |                3
 428 | Mai Sơn               | 1407              | Sơn La            |    3 |                3
 433 | Mỹ Lộc                | 2502              | Nam Định          |    2 |                3
 438 | Nghĩa Hưng            | 2509              | Nam Định          |    2 |                3
 443 | Pác Nặm               | 1108              | Bắc Kạn           |    3 |                3
 448 | Phù Cừ                |                   | Hưng Yên          |    3 |                 
 453 | Quận 1                | 0201              | TP Hồ Chí Minh    |    1 |                3
 458 | Sa Thầy               |                   | Kon Tum           |    3 |                 
 463 | Tam Đường             | 0702              | Lai Châu          |    3 |                3
 468 | Tân Uyên              | 0707              | Lai Châu          |    3 |                3
 473 | Châu Thành            | 4605              | Tây Ninh          |    2 |                2
 478 | Củ Chi                | 0221              | TP Hồ Chí Minh    |    3 |                3
 483 | Đắk Pơ                |                   | Gia Lai           |    3 |                 
 488 | Đông Hà               | 3201              | Quảng Trị         |    1 |                3
 493 | Gia Lâm               | 1A12              | Hà Nội            |    3 |                3
 498 | Hai Bà Trưng          | 1A03              | Hà Nội            |    1 |                3
 503 | Hoàng Mai             | 2921              | Nghệ An           |    3 |                3
 508 | Ia H'Drai             |                   | Kon Tum           |    3 |                 
 513 | Krông Búk             |                   | Đắk Lắk           |    3 |                 
 517 | Lập Thạch             | 1603              | Vĩnh Phúc         |    3 |                3
 523 | M'Đrăk                | 4009              | Đắk Lắk           |    3 |                3
 528 | Mỹ Xuyên              | 5904              | Sóc Trăng         |    2 |                2
 533 | Ngọc Hồi              |                   | Kon Tum           |    3 |                 
 538 | Phong Thổ             | 0703              | Lai Châu          |    3 |                3
 543 | Phúc Yên              | 1608              | Vĩnh Phúc         |    2 |                3
 548 | Quận 7                | 0207              | TP Hồ Chí Minh    |    1 |                3
 553 | Sông Cầu              | 3903              | Phú Yên           |    3 |                3
 558 | Tân Biên              | 4602              | Tây Ninh          |    3 |                3
 563 | Tây Trà               |                   | Quảng Ngãi        |    3 |                 
 568 | Thanh Miện            | 2107              | Hải Dương         |    2 |                3
 573 | Thủy Nguyên           | 0309              | Hải Phòng         |    2 |                2
 578 | Triệu Phong           | 3206              | Quảng Trị         |    2 |                3
 583 | Văn Chấn              | 1306              | Yên Bái           |    3 |                3
 588 | Vĩnh Thuận            |                   | Kiên Giang        |    3 |                 
 593 | Yên Thế               | 1802              | Bắc Giang         |    3 |                3
 598 | Thanh Sơn             | 1508              | Phú Thọ           |    3 |                3
 603 | Thuận Thành           | 1906              | Bắc Ninh          |    2 |                3
 608 | Tri Tôn               | 5107              | An Giang          |    3 |                3
 613 | Văn Bàn               | 0806              | Lào Cai           |    3 |                3
 618 | Vĩnh Thạnh            | 5507              | Cần Thơ           |    3 |                3
 623 | Yên Mỹ                | 2205              | Hưng Yên          |    3 |                3
 628 | Thanh Liêm            | 2405              | Hà Nam            |    2 |                3
 633 | Thuận Châu            | 1404              | Sơn La            |    3 |                3
 637 | Trần Đề               | 5911              | Sóc Trăng         |    2 |                3
 643 | Ứng Hòa               | 1B26              | Hà Nội            |    3 |                3
 648 | Vĩnh Lợi              | 6002              | Bạc Liêu          |    2 |                3
 653 | Yên Lập               |                   | Phú Thọ           |    3 |                 
 658 | Thanh Oai             | 1B24              | Hà Nội            |    3 |                3
 663 | Thuận Nam             | 4507              | Ninh Thuận        |    2 |                3
 668 | Trần Văn Thời         | 6104              | Cà Mau            |    3 |                3
 673 | Vạn Ninh              | 4102              | Khánh Hòa         |    3 |                3
 678 | Vĩnh Thạnh            |                   | Bình Định         |    3 |                 
 683 | Yên Minh              | 0504              | Hà Giang          |    3 |                3
 688 | Thanh Thủy            |                   | Phú Thọ           |    3 |                 
 117 | Đức Linh              | 4707              | Bình Thuận        |    3 |                3
 122 | Hà Giang              | 0501              | Hà Giang          |    1 |                3
 127 | Hòa Bình              | 2301              | Hòa Bình          |    1 |                3
 132 | Hưng Nguyên           | 2918              | Nghệ An           |    2 |                3
 137 | Kim Sơn               | 2707              | Ninh Bình         |    2 |                3
