 id  |         name          | ghn_district_code |     province      | type | ghn_support_type 
 632 | Thủ Dầu Một           | 4401              | Bình Dương        |    1 |                3
 636 | Trạm Tấu              |                   | Yên Bái           |    3 |                 
 642 | Từ Sơn                | 1905              | Bắc Ninh          |    2 |                2
 647 | Vĩnh Cửu              | 4802              | Đồng Nai          |    3 |                3
 652 | Yên Châu              |                   | Sơn La            |    3 |                 
 657 | Thanh Hà              | 2110              | Hải Dương         |    2 |                3
 662 | Thủ Đức               | 0218              | TP Hồ Chí Minh    |    2 |                3
 667 | Tràng Định            | 1002              | Lạng Sơn          |    3 |                3
 672 | Tương Dương           | 2908              | Nghệ An           |    3 |                3
 677 | Vĩnh Hưng             | 4902              | Long An           |    3 |                3
 682 | Yên Dũng              | 1810              | Bắc Giang         |    2 |                3
 687 | Thanh Khê             | 0402              | Đà Nẵng           |    1 |                3
 692 | Thuận Bắc             | 4506              | Ninh Thuận        |    2 |                3
 701 | Tứ Kỳ                 | 2106              | Hải Dương         |    2 |                3
 118 | Ea Kar                | 4008              | Đắk Lắk           |    3 |                3
 123 | Hạ Hòa                | 1505              | Phú Thọ           |    3 |                3
 128 | Hoài Đức              | 1B23              | Hà Nội            |    3 |                3
 133 | Hương Trà             | 3304              | Thừa Thiên - Huế  |    2 |                3
 138 | Kon Tum               | 3601              | Kon Tum           |    1 |                3
 143 | Lâm Bình              | 0902              | Tuyên Quang       |    3 |                3
 152 | Lương Tài             | 1908              | Bắc Ninh          |    3 |                3
 153 | Mường Nhé             | 6208              | Điện Biên         |    3 |                3
 158 | Nghi Lộc              | 2916              | Nghệ An           |    2 |                3
 163 | Nông Sơn              |                   | Quảng Nam         |    3 |                 
 168 | Phù Cát               | 3706              | Bình Định         |    3 |                3
 174 | Quảng Xương           | 2825              | Thanh Hóa         |    2 |                3
 178 | Sa Pa                 | 0805              | Lào Cai           |    3 |                3
 183 | Tam Điệp              | 2702              | Ninh Bình         |    2 |                2
 188 | Tân Yên               | 1806              | Bắc Giang         |    3 |                3
 193 | Châu Thành            | 5805              | Trà Vinh          |    2 |                3
 198 | Cư M'gar              | 4006              | Đắk Lắk           |    2 |                3
 203 | Đăk Tô                |                   | Kon Tum           |    3 |                 
 208 | Đồng Phú              | 4302              | Bình Phước        |    2 |                2
 213 | Giồng Riềng           | 5407              | Kiên Giang        |    3 |                3
 218 | Hàm Thuận Bắc         |                   | Bình Thuận        |    3 |                 
 223 | Hớn Quản              | 4309              | Bình Phước        |    3 |                3
 228 | Kiên Hải              |                   | Kiên Giang        |    3 |                 
 233 | Kỳ Sơn                | 2306              | Hòa Bình          |    2 |                3
 238 | Thị xã Long Mỹ        | 6408              | Hậu Giang         |    2 |                3
 244 | Mỏ Cày Nam            | 5609              | Bến Tre           |    2 |                3
 248 | Nam Giang             |                   | Quảng Nam         |    3 |                 
 253 | Nhà Bè                | 0223              | TP Hồ Chí Minh    |    3 |                3
 258 | Phú Giáo              | 4406              | Bình Dương        |    3 |                3
 263 | Phụng Hiệp            | 6404              | Hậu Giang         |    3 |                3
 268 | Quận 9                | 0209              | TP Hồ Chí Minh    |    2 |                3
 273 | Sông Hinh             |                   | Phú Yên           |    3 |                 
 278 | Tân Châu              | 5104              | An Giang          |    3 |                3
 283 | Cầu Kè                |                   | Trà Vinh          |    3 |                 
 288 | Chư Păh               | 3802              | Gia Lai           |    2 |                3
 293 | Dương Kinh            | 0315              | Hải Phòng         |    2 |                3
 298 | Điện Biên             | 6203              | Điện Biên         |    3 |                3
 303 | Đức Cơ                | 3807              | Gia Lai           |    3 |                3
 308 | Gò Quao               |                   | Kiên Giang        |    3 |                 
 313 | Hoa Lư                | 2705              | Ninh Bình         |    2 |                3
 318 | Huế                   | 3301              | Thừa Thiên - Huế  |    1 |                3
 323 | Kim Bôi               |                   | Hòa Bình          |    3 |                 
 328 | Lạng Giang            | 1808              | Bắc Giang         |    3 |                3
 333 | Lục Nam               | 1805              | Bắc Giang         |    2 |                3
 338 | Mường Khương          | 0809              | Lào Cai           |    3 |                3
 343 | Nga Sơn               | 2823              | Thanh Hóa         |    3 |                3
 348 | Ninh Hải              | 4503              | Ninh Thuận        |    2 |                3
 353 | Phú Riềng             |                   | Bình Phước        |    3 |                 
 354 | Phú Vang              | 3305              | Thừa Thiên - Huế  |    3 |                3
 359 | Quảng Yên             | 1711              | Quảng Ninh        |    3 |                3
 364 | Rạch Giá              | 5401              | Kiên Giang        |    1 |                3
 369 | Tam Dương             | 1602              | Vĩnh Phúc         |    2 |                3
 374 | Tân Trụ               | 4911              | Long An           |    2 |                3
 379 | Châu Thành            | 5910              | Sóc Trăng         |    2 |                3
 384 | Cư Kuin               | 4014              | Đắk Lắk           |    2 |                3
 389 | Đan Phượng            | 1B22              | Hà Nội            |    3 |                3
 394 | Đông Hải              | 6006              | Bạc Liêu          |    3 |                3
 399 | Gia Lộc               | 2105              | Hải Dương         |    2 |                3
 404 | Hải An                | 0305              | Hải Phòng         |    1 |                3
 409 | Hoành Bồ              | 1712              | Quảng Ninh        |    3 |                3
 414 | Kế Sách               | 5902              | Sóc Trăng         |    3 |                3
 422 | Krông Pa              |                   | Gia Lai           |    3 |                 
 424 | Long Biên             | 1A09              | Hà Nội            |    2 |                3
 429 | Mê Linh               | 1B29              | Hà Nội            |    3 |                3
 434 | Na Rì                 |                   | Bắc Kạn           |    3 |                 
 439 | Ngô Quyền             | 0303              | Hải Phòng         |    1 |                3
 444 | Phong Điền            | 5505              | Cần Thơ           |    2 |                3
 449 | Phúc Thọ              | 1B18              | Hà Nội            |    3 |                3
 454 | Quận 6                | 0206              | TP Hồ Chí Minh    |    1 |                3
 459 | Sóc Trăng             | 5901              | Sóc Trăng         |    1 |                3
 464 | Tân An                | 4901              | Long An           |    1 |                3
 469 | Tây Ninh              | 4601              | Tây Ninh          |    1 |                3
 474 | Chí Linh              | 2102              | Hải Dương         |    3 |                3
 479 | Dầu Tiếng             | 4407              | Bình Dương        |    3 |                2
 484 | Đắk Mil               | 6303              | Đắk Nông          |    3 |                3
 489 | Đông Triều            | 1710              | Quảng Ninh        |    3 |                3
 494 | Giang Thành           |                   | Kiên Giang        |    3 |                 
 499 | Hải Hậu               | 2510              | Nam Định          |    3 |                3
 504 | Hóc Môn               | 0222              | TP Hồ Chí Minh    |    3 |                3
 509 | Khánh Vĩnh            | 4105              | Khánh Hòa         |    3 |                3
 515 | Kỳ Anh                | 3010              | Hà Tĩnh           |    3 |                3
 519 | Long Điền             | 5204              | Bà Rịa - Vũng Tàu |    2 |                3
 524 | Mỏ Cày Bắc            | 5604              | Bến Tre           |    2 |                3
 529 | Nam Đông              | 3308              | Thừa Thiên - Huế  |    3 |                3
 535 | Nha Trang             | 4101              | Khánh Hòa         |    1 |                3
 539 | Phú Lộc               | 3307              | Thừa Thiên - Huế  |    3 |                3
 544 | Phước Sơn             |                   | Quảng Nam         |    3 |                 
 549 | Quận 12               | 0212              | TP Hồ Chí Minh    |    2 |                3
 554 | Sốp Cộp               | 1411              | Sơn La            |    3 |                3
 559 | Tân Hồng              | 5003              | Đồng Tháp         |    3 |                3
 564 | Tây Hồ                | 1A05              | Hà Nội            |    1 |                3
 569 | Thanh Xuân            | 1A07              | Hà Nội            |    1 |                3
 574 | Tiên Lãng             | 0311              | Hải Phòng         |    3 |                3
 579 | Tủa Chùa              | 6206              | Điện Biên         |    3 |                3
 584 | Văn Yên               | 1303              | Yên Bái           |    3 |                3
 589 | Vũng Tàu              | 5201              | Bà Rịa - Vũng Tàu |    1 |                3
 597 | Tây Sơn               | 3708              | Bình Định         |    3 |                3
 599 | Thạnh Phú             | 5608              | Bến Tre           |    3 |                3
 604 | Tiền Hải              | 2607              | Thái Bình         |    2 |                3
 609 | Trường Sa             |                   | Khánh Hòa         |    3 |                 
 614 | Văn Quan              | 1006              | Lạng Sơn          |    3 |                3
 619 | Vũ Quang              | 3011              | Hà Tĩnh           |    3 |                3
 624 | Yên Thủy              |                   | Hòa Bình          |    3 |                 
 629 | Thanh Trì             | 1A11              | Hà Nội            |    3 |                3
 634 | Thường Xuân           | 2808              | Thanh Hóa         |    3 |                3
 639 | Trùng Khánh           | 0606              | Cao Bằng          |    3 |                3
 644 | Văn Lãng              | 1004              | Lạng Sơn          |    3 |                3
 649 | Vĩnh Yên              | 1601              | Vĩnh Phúc         |    1 |                3
 654 | Yên Sơn               | 0906              | Tuyên Quang       |    2 |                2
 659 | Thạnh Hóa             | 4905              | Long An           |    3 |                3
 665 | Tiên Du               | 1904              | Bắc Ninh          |    2 |                2
 669 | Trực Ninh             | 2508              | Nam Định          |    2 |                3
 674 | Văn Lâm               | 2209              | Hưng Yên          |    3 |                3
 679 | Võ Nhai               | 1205              | Thái Nguyên       |    3 |                3
 121 | Gò Công Tây           | 5307              | Tiền Giang        |    2 |                3
 126 | Hiệp Đức              |                   | Quảng Nam         |    3 |                 
 131 | Hồng Lĩnh             | 3002              | Hà Tĩnh           |    3 |                3
 136 | Kiến Xương            | 2606              | Thái Bình         |    2 |                3
 141 | Lạc Sơn               |                   | Hòa Bình          |    3 |                 
 146 | Long Thành            | 4808              | Đồng Nai          |    3 |                3
 150 | Mộ Đức                | 3510              | Quảng Ngãi        |    2 |                3
 156 | Nam Trà My            |                   | Quảng Nam         |    3 |                 
 162 | Như Thanh             |                   | Thanh Hóa         |    3 |                 
 166 | Phú Nhuận             | 0217              | TP Hồ Chí Minh    |    1 |                3
 171 | Quan Sơn              | 2805              | Thanh Hóa         |    3 |                3
 176 | Quế Võ                | 1903              | Bắc Ninh          |    2 |                2
 181 | Sơn Hà                | 3506              | Quảng Ngãi        |    3 |                3
 186 | Tân Phú               | 4803              | Đồng Nai          |    3 |                3
 191 | Châu Phú              | 5108              | An Giang          |    3 |                3
 196 | Chương Mỹ             | 1B21              | Hà Nội            |    3 |                3
 201 | Đại Từ                |                   | Thái Nguyên       |    3 |                 
 206 | Đông Anh              | 1A13              | Hà Nội            |    3 |                3
 211 | Ea Súp                |                   | Đắk Lắk           |    3 |                 
 216 | Hạ Lang               | 0611              | Cao Bằng          |    3 |                3
 221 | Hoài Nhơn             | 3704              | Bình Định         |    3 |                3
 226 | Hướng Hóa             | 3208              | Quảng Trị         |    3 |                3
 231 | Kông Chro             |                   | Gia Lai           |    3 |                 
 235 | Lâm Thao              | 1510              | Phú Thọ           |    2 |                3
 241 | Mai Châu              |                   | Hòa Bình          |    3 |                 
 246 | Mỹ Hào                | 2208              | Hưng Yên          |    3 |                3
 251 | Nghĩa Hành            | 3508              | Quảng Ngãi        |    2 |                3
 256 | Ô Môn                 | 5504              | Cần Thơ           |    2 |                3
 261 | Phú Xuyên             | 1B28              | Hà Nội            |    3 |                3
 266 | Quảng Uyên            | 0609              | Cao Bằng          |    3 |                3
 271 | Sa Đéc                | 5002              | Đồng Tháp         |    1 |                3
 276 | Tam Đảo               | 1609              | Vĩnh Phúc         |    2 |                3
 281 | Tân Uyên              | 4403              | Bình Dương        |    2 |                3
 286 | Châu Thành A          | 6406              | Hậu Giang         |    3 |                3
 291 | Cửa Lò                | 2902              | Nghệ An           |    2 |                3
 296 | Đắk Hà                | 3607              | Kon Tum           |    3 |                3
 301 | Đông Sơn              | 2820              | Thanh Hóa         |    2 |                3
 306 | Giá Rai               | 6004              | Bạc Liêu          |    3 |                3
 309 | Hải Hà                | 1707              | Quảng Ninh        |    3 |                3
 316 | Hoằng Hóa             | 2822              | Thanh Hóa         |    2 |                3
 321 | Khánh Sơn             | 4107              | Khánh Hòa         |    3 |                3
 326 | Krông Pắk             | 4007              | Đắk Lắk           |    3 |                3
 331 | Long Khánh            | 4806              | Đồng Nai          |    3 |                3
 336 | Minh Long             | 3509              | Quảng Ngãi        |    3 |                3
 341 | Nam Định              | 2501              | Nam Định          |    1 |                3
 346 | Ngũ Hành Sơn          | 0404              | Đà Nẵng           |    1 |                3
 351 | Phổ Yên               | 1209              | Thái Nguyên       |    3 |                3
 356 | Phục Hòa              | 0613              | Cao Bằng          |    3 |                3
 361 | Quận 8                | 0208              | TP Hồ Chí Minh    |    1 |                3
 366 | Sông Công             | 1202              | Thái Nguyên       |    2 |                3
 371 | Tân Bình              | 0214              | TP Hồ Chí Minh    |    1 |                3
 376 | Cần Đước              | 4912              | Long An           |    3 |                3
 381 | Chợ Mới               | 1107              | Bắc Kạn           |    3 |                3
 386 | Duy Xuyên             | 3403              | Quảng Nam         |    2 |                2
 391 | Đam Rông              | 4212              | Lâm Đồng          |    3 |                3
 396 | Đồng Xuân             | 3902              | Phú Yên           |    3 |                3
 401 | Gò Công Đông          | 5308              | Tiền Giang        |    3 |                3
 406 | Hậu Lộc               | 2824              | Thanh Hóa         |    3 |                3
 411 | Hồng Ngự              | 5004              | Đồng Tháp         |    3 |                3
 416 | Kim Bảng              | 2403              | Hà Nam            |    2 |                3
 419 | Lai Châu              | 0701              | Lai Châu          |    1 |                3
 426 | Lộc Hà                | 3012              | Hà Tĩnh           |    2 |                3
 431 | Mường Ảng             |                   | Điện Biên         |    3 |                 
 436 | Nậm Pồ                |                   | Điện Biên         |    3 |                 
 441 | Ninh Giang            | 2108              | Hải Dương         |    2 |                3
 446 | Phú Quý               |                   | Bình Thuận        |    3 |                 
 451 | Quản Bạ               | 0505              | Hà Giang          |    3 |                3
 455 | Quy Nhơn              | 3701              | Bình Định         |    1 |                3
 461 | Sơn Hòa               |                   | Phú Yên           |    3 |                 
 466 | Tân Lạc               | 2304              | Hòa Bình          |    3 |                3
 471 | Châu Đốc              | 5102              | An Giang          |    3 |                3
 476 | Chư Prông             | 3808              | Gia Lai           |    3 |                3
 481 | Dương Minh Châu       | 4604              | Tây Ninh          |    2 |                3
 486 | Điện Biên Đông        |                   | Điện Biên         |    3 |                 
 491 | Đức Hòa               | 4907              | Long An           |    3 |                3
 496 | Gò Vấp                | 0213              | TP Hồ Chí Minh    |    1 |                3
 501 | Hòa An                | 0608              | Cao Bằng          |    3 |                3
 506 | Hưng Hà               | 2603              | Thái Bình         |    3 |                3
 511 | Kim Động              | 2202              | Hưng Yên          |    2 |                2
 516 | Lai Vung              | 5010              | Đồng Tháp         |    2 |                2
 521 | Lục Ngạn              | 1803              | Bắc Giang         |    3 |                3
 527 | Mường La              | 1403              | Sơn La            |    3 |                3
 531 | Ngã Bảy               | 6407              | Hậu Giang         |    3 |                3
 536 | Ninh Kiều             | 5501              | Cần Thơ           |    1 |                3
 541 | Phú Thọ               | 1502              | Phú Thọ           |    3 |                3
 546 | Quảng Trị             | 3202              | Quảng Trị         |    3 |                3
 551 | Quỳnh Phụ             | 2602              | Thái Bình         |    3 |                3
 556 | Tam Bình              | 5705              | Vĩnh Long         |    3 |                3
 561 | Tân Thạnh             | 4904              | Long An           |    3 |                3
 566 | Thái Nguyên           | 1201              | Thái Nguyên       |    1 |                3
 571 | Thới Bình             | 6102              | Cà Mau            |    3 |                3
 576 | Trà Ôn                | 5706              | Vĩnh Long         |    3 |                3
 581 | Tư Nghĩa              | 3507              | Quảng Ngãi        |    2 |                2
 586 | Vĩnh Bảo              | 0312              | Hải Phòng         |    3 |                3
 591 | Yên Định              | 2827              | Thanh Hóa         |    3 |                3
 595 | Than Uyên             | 0706              | Lai Châu          |    3 |                3
 601 | Thốt Nốt              | 5508              | Cần Thơ           |    2 |                3
 606 | Trà Lĩnh              | 0605              | Cao Bằng          |    3 |                3
 611 | Tuyên Quang           | 0901              | Tuyên Quang       |    1 |                3
 616 | Vinh                  | 2901              | Nghệ An           |    1 |                3
 621 | Yên Bái               | 1301              | Yên Bái           |    1 |                2
 626 | Thái Hòa              | 2920              | Nghệ An           |    3 |                3
 631 | Thông Nông            | 0603              | Cao Bằng          |    3 |                3
 638 | Trà Bồng              | 3504              | Quảng Ngãi        |    3 |                3
 641 | Tuy Phước             | 3711              | Bình Định         |    2 |                3
 646 | Việt Trì              | 1501              | Phú Thọ           |    1 |                3
 651 | Xuân Trường           | 2503              | Nam Định          |    3 |                3
 656 | Thái Thụy             | 2608              | Thái Bình         |    2 |                3
 661 | Thống Nhất            | 4805              | Đồng Nai          |    3 |                3
 666 | Trà Cú                | 5806              | Trà Vinh          |    3 |                3
 671 | Tuyên Hóa             | 3102              | Quảng Bình        |    3 |                3
 676 | Việt Yên              | 1809              | Bắc Giang         |    2 |                3
 681 | Xuyên Mộc             | 5203              | Bà Rịa - Vũng Tàu |    3 |                3
 686 | Thanh Ba              | 1504              | Phú Thọ           |    3 |                3
 684 | Yên Thành             | 2911              | Nghệ An           |    3 |                3
 689 | Thạnh Trị             |                   | Sóc Trăng         |    3 |                 
 694 | Tiên Lữ               | 2206              | Hưng Yên          |    2 |                3
 697 | Trấn Yên              | 1307              | Yên Bái           |    2 |                3
 702 | Uông Bí               | 1703              | Quảng Ninh        |    3 |                3
 707 | Vĩnh Lộc              | 2816              | Thanh Hóa         |    3 |                3
 712 | Yên Lạc               | 1605              | Vĩnh Phúc         |    2 |                2
 690 | Thoại Sơn             | 5111              | An Giang          |    3 |                3
 695 | Tịnh Biên             | 5106              | An Giang          |    3 |                3
 698 | Triệu Sơn             |                   | Thanh Hóa         |    3 |                 
 703 | Văn Giang             | 2210              | Hưng Yên          |    3 |                3
 708 | Vĩnh Tường            | 1604              | Vĩnh Phúc         |    2 |                2
 713 | Yên Phong             | 1902              | Bắc Ninh          |    2 |                3
 691 | Thới Lai              | 5509              | Cần Thơ           |    3 |                3
 696 | Trà Vinh              | 5801              | Trà Vinh          |    1 |                3
 699 | Tuần Giáo             | 6204              | Điện Biên         |    3 |                3
 704 | Vân Canh              | 3709              | Bình Định         |    3 |                3
 709 | Vũ Thư                | 2605              | Thái Bình         |    2 |                2
 693 | Thường Tín            | 1B27              | Hà Nội            |    3 |                3
 700 | Tuy Phong             | 4702              | Bình Thuận        |    3 |                3
 705 | Vị Xuyên              |                   | Hà Giang          |    3 |                 
 710 | Xuân Lộc              | 4807              | Đồng Nai          |    3 |                3
 706 | Vĩnh Châu             | 5907              | Sóc Trăng         |    3 |                3
 711 | Yên Bình              |                   | Yên Bái           |    3 |                 
(713 rows)

